,Date,Demanda,VolUtil,Aportes,PrecioB,PrecioO,DispTer,DispNoTer
0,2016-01-01,5885744.609583333,10555406800.0,63496200.0,407.56597166666666,414.2069832075471,3978218.75,8762402.625
1,2016-01-02,6352403.178333334,10537372200.0,55776100.0,407.6279133333333,418.6422473584906,3987585.375,8949453.416666666
2,2016-01-03,6285870.559583333,10528411200.0,61744800.0,499.3292033333333,426.29003981132075,3930220.0833333335,8916347.166666666
3,2016-01-04,7226923.193750001,10507658800.0,70137500.0,535.1409666666667,414.71745490566036,3882154.125,9002401.25
4,2016-01-05,7485121.589166667,10474679600.0,64121400.0,573.1297333333333,427.9590775471698,3891291.6666666665,8855395.708333334
5,2016-01-06,7541160.608750001,10443025100.0,66516300.0,633.4549633333332,415.0047756603774,3903458.3333333335,8895981.875
6,2016-01-07,7585949.862083334,10412608200.0,66291100.0,629.5375366666666,415.1490775471698,4017509.0,9027967.958333334
7,2016-01-08,7665033.572500001,10358767300.0,56916800.0,587.2485233333333,430.41911528301887,3811161.0416666665,9135659.625
8,2016-01-09,7319285.492916667,10315238900.0,58531700.0,496.7454216666667,453.8296435849056,3595526.3333333335,9121233.208333334
9,2016-01-10,6542414.727083333,10281739500.0,55702100.0,533.0209000000001,449.8916624528302,3671893.75,9247313.125
10,2016-01-11,6639138.7775,10246219600.0,55021300.0,540.9243916666667,464.8746435849057,3683867.3333333335,9167085.958333334
11,2016-01-12,7592809.613333333,10189833700.0,51698900.0,659.9492683333334,448.35802094339624,3690564.5833333335,8985126.375
12,2016-01-13,7757863.193333334,10131110900.0,57472800.0,685.15492,461.912549245283,3560152.75,8934977.541666666
13,2016-01-14,7834627.575416666,10072280800.0,47998200.0,770.7685366666666,458.68579452830187,3791295.8333333335,8685102.708333334
14,2016-01-15,7903699.79,10011850300.0,49197100.0,693.8068233333333,441.0166624528302,3797673.5833333335,8717157.458333334
15,2016-01-16,7438146.245,9961400200.0,48121500.0,621.6373683333333,439.75590773584906,3816076.375,9146722.916666666
16,2016-01-17,6739229.195833333,9928000200.0,45333900.0,536.5066266666666,443.53420962264147,4095416.6666666665,9047262.25
17,2016-01-18,7775533.728333333,9868828700.0,41216600.0,680.0212233333333,451.6208888679245,3933258.3333333335,9131627.708333334
18,2016-01-19,7921670.532916666,9805565300.0,42112100.0,569.77087,428.37739830188684,3979788.1666666665,8808988.0
19,2016-01-20,7962294.50125,9740519600.0,42335600.0,542.3937866666666,424.8038133962264,3901990.9166666665,8774906.875
20,2016-01-21,7965888.754166666,9666273700.0,43189600.0,496.81253666666663,422.42024735849054,3787522.8333333335,8835497.041666666
21,2016-01-22,8063553.723333333,9601235200.0,47088800.0,556.14608,409.1188322641509,4025104.1666666665,8901443.541666666
22,2016-01-23,7642538.93875,9540321300.0,48413500.0,581.7914566666667,427.4715681132075,3708310.4166666665,8985408.333333334
23,2016-01-24,6788994.631250001,9501568000.0,47465300.0,557.24778,439.1439266037736,3768429.8333333335,9014412.375
24,2016-01-25,7775451.366666667,9437058100.0,46310500.0,601.1662833333334,442.93294547169813,3735786.0833333335,9095872.875
